100	1305941	8126517476	2013-03-15
100	1305941	1532821344	2012-03-25
100	1305941	1852421177	2016-06-12
100	1305941	0521764580	2012-03-19
101	2166061	8415996470	2012-07-16
101	2166061	8851520003	2015-08-12
101	2166061	8497405412	2016-05-17
101	2166061	842047505X	2013-02-05
101	2166061	0812222156	2014-01-26
101	2166061	2930402318	2015-01-10
102	1118691	1405353104	2013-12-02
102	1118691	1154852962	2013-11-12
102	1118691	8481645095	2015-02-22
102	1118691	063113106X	2012-06-21
102	1118691	1906838313	2012-01-01
102	1118691	0559052049	2016-08-30
103	118203	1141105578	2015-04-09
103	118203	8478950737	2014-01-09
103	118203	8473170741	2015-04-17
103	118203	1539017842	2015-03-14
103	118203	3442725070	2013-01-24
103	118203	1403917299	2016-12-10
103	118203	0262527340	2016-04-01
103	118203	1536807605	2013-10-06
104	1468801	1171916035	2015-07-17
104	1468801	8373199438	2015-12-29
104	1468801	8466324607	2013-03-07
104	1468801	3442721938	2013-02-08
104	1468801	1551642611	2016-07-02
104	1468801	1841504637	2014-01-29
105	1636821	8467041102	2013-11-08
105	1636821	8498973430	2016-03-18
105	1636821	8466326561	2013-02-09
105	1636821	1141105578	2014-07-16
105	1636821	156584775X	2012-05-27
105	1636821	3668265046	2012-09-10
106	33423	1171916035	2015-01-12
106	33423	8466328467	2012-04-27
106	33423	8425304032	2014-08-26
106	33423	1608463311	2015-09-18
106	33423	9781405884426	2016-06-15
106	33423	1235080714	2013-06-30
106	33423	1330776380	2012-08-22
107	36823	1565843975	2015-04-01
107	36823	0241203414	2013-10-11
107	36823	2211069711	2014-10-10
107	36823	8817074667	2014-12-07
107	36823	8437632099	2015-01-10
107	36823	0812222156	2016-12-20
107	36823	111183914X	2014-05-24
108	731573	2266261541	2015-07-09
108	731573	1500719234	2016-05-26
109	1018421	1433124475	2012-06-01
110	532923	1296221849	2012-10-29
111	43593	9870414567	2016-11-03
111	43593	8481645095	2013-09-09
112	43593	1783190442	2015-07-03
112	43593	0887845746	2013-12-09
112	43593	074569621X	2014-08-11
112	43593	0714846031	2013-09-10
112	43593	8466320636	2014-12-27
112	43593	8466320385	2014-06-01
112	43593	0415153131	2014-08-08
112	43593	9876025384	2013-08-22
113	34713	8499677916	2015-01-01
113	34713	1329977912	2013-02-13
114	4188111	8425304032	2015-08-17
114	4188111	1533011869	2013-01-03
114	4188111	0241954290	2014-05-28
114	4188111	0801815452	2016-03-04
114	4188111	0262029855	2012-07-30
114	4188111	8466328459	2012-08-12
114	4188111	8493486272	2013-02-21
114	4188111	149748765X	2015-08-28
114	4188111	1537389467	2016-05-22
115	12	1414201737	2012-11-23
116	2426	1589770439	2014-09-08
117	1303691	1482035030	2015-05-25
117	1303691	1902593359	2014-05-17
117	1303691	0631200215	2013-08-31
117	1303691	0753824337	2015-12-11
117	1303691	0753826933	2012-01-05
117	1303691	8373197451	2013-06-22
117	1303691	8416418799	2013-10-29
117	1303691	1876175133	2013-03-25
118	860551	8433848070	2015-05-03
118	860551	3442725070	2014-07-18
118	860551	2080812610	2016-10-03
118	860551	0262530708	2012-03-09
118	860551	158871277X	2016-07-22
118	860551	1586633953	2014-11-01
118	860551	9061126606	2013-01-23
118	860551	0992245338	2015-07-13
119	657863	9061125170	2012-02-21
119	657863	8425304032	2016-11-29
119	657863	1481920693	2016-07-10
119	657863	1296221849	2016-12-26
119	657863	1137000678	2015-09-08
119	657863	0554081644	2014-04-09
119	657863	1608464245	2016-08-02
119	657863	1500719234	2015-03-04
120	1672601	8415310110	2013-01-17
120	1672601	0691157804	2012-01-22
121	2890961	8420469432	2013-03-15
122	1491981	1346322732	2016-01-27
